product_category_name,year,month,order_count,total_sales
,2017,1,1,97.77
,2017,2,28,3976.7199999999993
,2017,3,35,5566.439999999996
,2017,4,24,15854.830000000002
,2017,5,28,10830.54
,2017,6,18,13857.81
,2017,7,59,24406.079999999984
,2017,8,69,19099.6
,2017,9,52,14244.550000000007
,2017,10,26,4288.430000000002
,2017,11,29,6349.959999999996
,2017,12,21,3594.37
,2018,1,135,24694.999999999975
,2018,2,32,6049.0199999999995
,2018,3,9,4732.93
,2018,4,7,2763.9
,2018,5,5,1411.11
,2018,6,3,618.1500000000001
,2018,7,8,1449.5700000000002
,2018,8,1,78.73
agro_industry_and_commerce,2017,2,1,48.99
agro_industry_and_commerce,2017,5,1,97.5
agro_industry_and_commerce,2018,2,4,834.3
agro_industry_and_commerce,2018,3,19,623.0600000000002
agro_industry_and_commerce,2018,6,2,290.64
agro_industry_and_commerce,2018,7,5,217.52000000000004
agro_industry_and_commerce,2018,8,11,1720.3700000000003
air_conditioning,2017,1,1,93.55
air_conditioning,2017,2,16,24024.0
air_conditioning,2017,8,3,300.3
air_conditioning,2017,9,2,250.92
air_conditioning,2017,11,1,517.65
air_conditioning,2018,1,10,4370.549999999999
air_conditioning,2018,3,8,2586.4
air_conditioning,2018,4,25,2846.230000000001
air_conditioning,2018,5,16,802.8900000000003
air_conditioning,2018,6,16,300.0400000000001
air_conditioning,2018,8,2,2975.56
art,2017,10,1,59.85
art,2018,3,1,314.8
art,2018,6,2,570.08
arts_and_craftmanship,2018,8,1,37.49
audio,2017,9,1,34.0
audio,2017,10,27,1158.0300000000002
audio,2017,11,55,3884.319999999999
audio,2017,12,33,1415.3700000000008
audio,2018,1,32,1372.4800000000007
audio,2018,3,32,5809.920000000003
audio,2018,4,51,7324.640000000003
audio,2018,5,28,4185.839999999997
audio,2018,6,60,34274.87999999999
audio,2018,7,49,10063.080000000004
audio,2018,8,48,8714.880000000006
auto,2016,10,3,415.29999999999995
auto,2017,1,13,2695.33
auto,2017,2,32,5499.970000000003
auto,2017,3,89,13691.159999999982
auto,2017,4,29,3937.200000000002
auto,2017,5,39,6257.490000000001
auto,2017,6,165,24481.320000000036
auto,2017,7,51,7906.360000000001
auto,2017,8,82,29176.180000000004
auto,2017,9,66,9567.020000000006
auto,2017,10,9,3547.72
auto,2017,11,53,9301.7
auto,2017,12,133,15835.649999999965
auto,2018,1,36,6722.489999999999
auto,2018,2,199,56616.66000000001
auto,2018,3,131,42262.22000000007
auto,2018,4,195,103015.64999999985
auto,2018,5,81,24356.200000000023
auto,2018,6,60,21330.340000000004
auto,2018,7,121,40794.110000000066
auto,2018,8,117,26982.260000000002
baby,2017,1,7,1839.62
baby,2017,2,12,2891.76
baby,2017,3,9,3806.83
baby,2017,4,13,7330.34
baby,2017,5,93,8321.889999999994
baby,2017,6,26,2396.700000000001
