customer_state,order_count,avg_processing_time,avg_delivery_days,total_sales
AC,269,0.9581212997384001,7.0,56668.68
AL,2163,1.1225710818307906,7.0,1208530.82
AM,405,0.2719804526748971,7.0,80445.92
AP,183,1.1848239222829386,7.0,73596.87
BA,16161,0.6098762939816247,7.0,9185459.07
CE,6905,0.3614258220023064,7.0,5014802.62
DF,9882,0.4634347558130383,7.0,3864120.76
ES,10570,0.4415454860016118,7.0,6414325.5
GO,10839,0.7145286215671802,7.0,7976963.029999999
MA,3391,0.8311634333666459,7.0,1482213.43
MG,61180,0.5255131102212052,7.0,34139885.1
MS,3794,0.23784734119662626,7.0,995630.84
MT,4940,0.7150694046146349,7.0,3514891.76
PA,4536,0.5228329000710367,7.0,2674229.13
PB,3102,0.4731674084222843,7.0,809022.61
PE,8161,0.6220284015098911,7.0,4708683.05
PI,2378,0.4241708913497181,7.0,1908325.8399999999
PR,23077,0.4433278319242022,7.0,14608949.379999999
RJ,67221,0.4538626339349421,7.0,34182173.76
RN,2101,0.5591436892925767,7.0,987277.21
RO,1008,0.639894019143151,7.0,264902.37
RR,172,0.2889600156115418,7.0,14851.71
RS,31466,0.5719384321127919,7.0,17024749.02
SC,17421,0.4924235630103727,7.0,8516519.78
SE,2254,0.3226800348762694,7.0,1212596.47
SP,188371,0.4558331341659397,7.0,92138208.53999999
TO,1233,0.4162606259950137,7.0,306779.3
