product_category_name,order_year,order_month,count,date
agro_industry_and_commerce,2017,1,54,2017-01-01
agro_industry_and_commerce,2017,2,199,2017-02-01
agro_industry_and_commerce,2017,3,18,2017-03-01
agro_industry_and_commerce,2017,5,38,2017-05-01
agro_industry_and_commerce,2017,11,66,2017-11-01
agro_industry_and_commerce,2017,12,33,2017-12-01
agro_industry_and_commerce,2018,1,41,2018-01-01
agro_industry_and_commerce,2018,2,32,2018-02-01
agro_industry_and_commerce,2018,3,161,2018-03-01
agro_industry_and_commerce,2018,4,17,2018-04-01
agro_industry_and_commerce,2018,6,32,2018-06-01
agro_industry_and_commerce,2018,7,42,2018-07-01
agro_industry_and_commerce,2018,8,24,2018-08-01
air_conditioning,2016,10,9,2016-10-01
air_conditioning,2017,2,10,2017-02-01
air_conditioning,2017,4,1,2017-04-01
air_conditioning,2017,5,7,2017-05-01
air_conditioning,2017,6,6,2017-06-01
air_conditioning,2017,8,23,2017-08-01
air_conditioning,2017,9,12,2017-09-01
air_conditioning,2017,10,32,2017-10-01
air_conditioning,2017,11,20,2017-11-01
air_conditioning,2017,12,2,2017-12-01
air_conditioning,2018,1,22,2018-01-01
air_conditioning,2018,2,5,2018-02-01
air_conditioning,2018,3,21,2018-03-01
air_conditioning,2018,4,14,2018-04-01
air_conditioning,2018,5,34,2018-05-01
air_conditioning,2018,6,37,2018-06-01
air_conditioning,2018,7,10,2018-07-01
air_conditioning,2018,8,14,2018-08-01
art,2017,4,2,2017-04-01
art,2017,5,2,2017-05-01
art,2017,10,1,2017-10-01
art,2018,1,3,2018-01-01
art,2018,4,1,2018-04-01
art,2018,5,4,2018-05-01
art,2018,6,1,2018-06-01
art,2018,7,1,2018-07-01
arts_and_craftmanship,2018,7,3,2018-07-01
arts_and_craftmanship,2018,8,1,2018-08-01
audio,2016,10,2,2016-10-01
audio,2017,5,15,2017-05-01
audio,2017,7,8,2017-07-01
audio,2017,8,4,2017-08-01
audio,2017,9,42,2017-09-01
audio,2017,10,341,2017-10-01
audio,2017,11,121,2017-11-01
audio,2017,12,70,2017-12-01
audio,2018,1,209,2018-01-01
audio,2018,2,104,2018-02-01
audio,2018,3,106,2018-03-01
audio,2018,4,157,2018-04-01
audio,2018,5,209,2018-05-01
audio,2018,6,327,2018-06-01
audio,2018,7,333,2018-07-01
audio,2018,8,555,2018-08-01
auto,2016,10,2,2016-10-01
auto,2017,1,95,2017-01-01
auto,2017,2,514,2017-02-01
auto,2017,3,346,2017-03-01
auto,2017,4,197,2017-04-01
auto,2017,5,538,2017-05-01
auto,2017,6,246,2017-06-01
auto,2017,7,307,2017-07-01
auto,2017,8,265,2017-08-01
auto,2017,9,383,2017-09-01
auto,2017,10,146,2017-10-01
auto,2017,11,494,2017-11-01
auto,2017,12,647,2017-12-01
auto,2018,1,605,2018-01-01
auto,2018,2,722,2018-02-01
auto,2018,3,602,2018-03-01
auto,2018,4,976,2018-04-01
auto,2018,5,711,2018-05-01
auto,2018,6,1101,2018-06-01
auto,2018,7,772,2018-07-01
auto,2018,8,840,2018-08-01
baby,2016,10,13,2016-10-01
baby,2017,1,136,2017-01-01
baby,2017,2,59,2017-02-01
baby,2017,3,10,2017-03-01
baby,2017,4,20,2017-04-01
baby,2017,5,165,2017-05-01
baby,2017,6,131,2017-06-01
baby,2017,7,346,2017-07-01
baby,2017,8,545,2017-08-01
baby,2017,9,734,2017-09-01
baby,2017,10,198,2017-10-01
baby,2017,11,313,2017-11-01
