product_category_name,order_year,order_month,order_count,total_sales,prev_month_count,growth_rate
agro_industry_and_commerce,2017,2,1,48.99,,
agro_industry_and_commerce,2017,5,1,97.5,1.0,0.0
agro_industry_and_commerce,2018,2,4,834.3,1.0,300.0
agro_industry_and_commerce,2018,3,19,623.0600000000002,4.0,375.0
agro_industry_and_commerce,2018,6,2,290.64,19.0,-89.47368421052632
agro_industry_and_commerce,2018,7,5,217.52000000000004,2.0,150.0
agro_industry_and_commerce,2018,8,11,1720.3700000000003,5.0,120.0
air_conditioning,2017,1,1,93.55,,
air_conditioning,2017,2,16,24024.0,1.0,1500.0
air_conditioning,2017,8,3,300.3,16.0,-81.25
air_conditioning,2017,9,2,250.92,3.0,-33.33333333333333
air_conditioning,2017,11,1,517.65,2.0,-50.0
air_conditioning,2018,1,10,4370.549999999999,1.0,900.0
air_conditioning,2018,3,8,2586.4,10.0,-20.0
air_conditioning,2018,4,25,2846.230000000001,8.0,212.5
air_conditioning,2018,5,16,802.8900000000003,25.0,-36.0
air_conditioning,2018,6,16,300.0400000000001,16.0,0.0
air_conditioning,2018,8,2,2975.56,16.0,-87.5
art,2017,10,1,59.85,,
art,2018,3,1,314.8,1.0,0.0
art,2018,6,2,570.08,1.0,100.0
arts_and_craftmanship,2018,8,1,37.49,,
audio,2017,9,1,34.0,,
audio,2017,10,27,1158.0300000000002,1.0,2600.0
audio,2017,11,55,3884.319999999999,27.0,103.7037037037037
audio,2017,12,33,1415.3700000000008,55.0,-40.0
audio,2018,1,32,1372.4800000000007,33.0,-3.0303030303030303
audio,2018,3,32,5809.920000000003,32.0,0.0
audio,2018,4,51,7324.640000000003,32.0,59.375
audio,2018,5,28,4185.839999999997,51.0,-45.09803921568628
audio,2018,6,60,34274.87999999999,28.0,114.28571428571428
audio,2018,7,49,10063.080000000004,60.0,-18.333333333333332
audio,2018,8,48,8714.880000000006,49.0,-2.0408163265306123
auto,2016,10,3,415.29999999999995,,
auto,2017,1,13,2695.33,3.0,333.33333333333337
auto,2017,2,32,5499.970000000003,13.0,146.15384615384613
auto,2017,3,89,13691.159999999982,32.0,178.125
auto,2017,4,29,3937.200000000002,89.0,-67.41573033707866
auto,2017,5,39,6257.490000000001,29.0,34.48275862068966
auto,2017,6,165,24481.320000000036,39.0,323.0769230769231
auto,2017,7,51,7906.360000000001,165.0,-69.0909090909091
auto,2017,8,82,29176.180000000004,51.0,60.78431372549019
auto,2017,9,66,9567.020000000006,82.0,-19.51219512195122
auto,2017,10,9,3547.72,66.0,-86.36363636363636
auto,2017,11,53,9301.7,9.0,488.8888888888889
auto,2017,12,133,15835.649999999965,53.0,150.9433962264151
auto,2018,1,36,6722.489999999999,133.0,-72.93233082706767
auto,2018,2,199,56616.66000000001,36.0,452.77777777777777
auto,2018,3,131,42262.22000000007,199.0,-34.17085427135678
auto,2018,4,195,103015.64999999985,131.0,48.854961832061065
auto,2018,5,81,24356.200000000023,195.0,-58.46153846153847
auto,2018,6,60,21330.340000000004,81.0,-25.925925925925924
auto,2018,7,121,40794.110000000066,60.0,101.66666666666666
auto,2018,8,117,26982.260000000002,121.0,-3.3057851239669422
baby,2017,1,7,1839.62,,
baby,2017,2,12,2891.76,7.0,71.42857142857143
baby,2017,3,9,3806.83,12.0,-25.0
baby,2017,4,13,7330.34,9.0,44.44444444444444
baby,2017,5,93,8321.889999999994,13.0,615.3846153846155
baby,2017,6,26,2396.700000000001,93.0,-72.04301075268818
baby,2017,7,76,9843.180000000011,26.0,192.30769230769232
baby,2017,8,92,3596.519999999999,76.0,21.052631578947366
baby,2017,9,113,14328.65000000002,92.0,22.82608695652174
baby,2017,10,28,3373.4600000000005,113.0,-75.22123893805309
baby,2017,11,100,48427.33000000001,28.0,257.14285714285717
baby,2017,12,48,21396.83000000002,100.0,-52.0
baby,2018,1,127,56421.97000000006,48.0,164.58333333333331
baby,2018,2,43,13371.589999999984,127.0,-66.14173228346458
baby,2018,3,149,68668.90999999996,43.0,246.51162790697674
baby,2018,4,108,55434.41999999997,149.0,-27.516778523489933
baby,2018,5,74,31404.849999999977,108.0,-31.48148148148148
baby,2018,6,41,12850.14,74.0,-44.5945945945946
baby,2018,7,33,3520.8,41.0,-19.51219512195122
baby,2018,8,54,13057.099999999999,33.0,63.63636363636363
bed_bath_table,2017,1,25,1741.8099999999997,,
bed_bath_table,2017,2,52,13871.379999999988,25.0,108.0
bed_bath_table,2017,3,134,10975.889999999985,52.0,157.69230769230768
bed_bath_table,2017,4,164,53570.87999999998,134.0,22.388059701492537
bed_bath_table,2017,5,108,22882.620000000024,164.0,-34.146341463414636
bed_bath_table,2017,6,138,36727.31000000003,108.0,27.77777777777778
bed_bath_table,2017,7,163,22949.169999999995,138.0,18.115942028985508
bed_bath_table,2017,8,149,41625.229999999916,163.0,-8.588957055214724
bed_bath_table,2017,9,245,119702.45000000014,149.0,64.42953020134227
bed_bath_table,2017,10,745,192008.2399999989,245.0,204.08163265306123
bed_bath_table,2017,11,626,124973.7700000005,745.0,-15.973154362416109
bed_bath_table,2017,12,644,141653.7900000001,626.0,2.8753993610223643
bed_bath_table,2018,1,699,172356.91999999993,644.0,8.540372670807454
bed_bath_table,2018,2,503,120925.7900000005,699.0,-28.040057224606578
bed_bath_table,2018,3,488,76333.52999999993,503.0,-2.982107355864811
bed_bath_table,2018,4,347,61303.98,488.0,-28.893442622950822
bed_bath_table,2018,5,238,56463.7999999999,347.0,-31.412103746397698
bed_bath_table,2018,6,372,91441.40000000042,238.0,56.30252100840336
bed_bath_table,2018,7,186,52677.290000000154,372.0,-50.0
bed_bath_table,2018,8,158,35019.29000000003,186.0,-15.053763440860216
books_general_interest,2017,1,2,57.64,,
books_general_interest,2017,3,5,330.87,2.0,150.0
books_general_interest,2017,4,2,1196.0,5.0,-60.0
books_general_interest,2017,5,8,1535.58,2.0,300.0
books_general_interest,2017,7,4,254.0,8.0,-50.0
books_general_interest,2017,8,6,577.36,4.0,50.0
books_general_interest,2017,10,4,612.56,6.0,-33.33333333333333
books_general_interest,2017,11,8,784.6,4.0,100.0
books_general_interest,2017,12,2,333.36,8.0,-75.0
books_general_interest,2018,2,1,83.36,2.0,-50.0
books_general_interest,2018,3,5,2948.76,1.0,400.0
books_general_interest,2018,4,1,57.89,5.0,-80.0
books_general_interest,2018,6,1,475.0,1.0,0.0
books_general_interest,2018,8,8,1997.1999999999998,1.0,700.0
books_imported,2017,11,2,615.0,,
books_imported,2017,12,12,1291.1999999999998,2.0,500.0
books_imported,2018,2,4,430.4,12.0,-66.66666666666666
books_technical,2017,9,1,220.99,,
books_technical,2017,11,6,713.9399999999999,1.0,500.0
books_technical,2017,12,3,356.96999999999997,6.0,-50.0
books_technical,2018,1,2,355.33000000000004,3.0,-33.33333333333333
books_technical,2018,3,1,639.0,2.0,-50.0
books_technical,2018,4,12,630.88,1.0,1100.0
books_technical,2018,5,89,12050.169999999986,12.0,641.6666666666667
books_technical,2018,6,11,1594.89,89.0,-87.64044943820225
books_technical,2018,7,11,1594.89,11.0,0.0
christmas_supplies,2017,9,1,10.49,,
christmas_supplies,2017,10,1,692.0,1.0,0.0
christmas_supplies,2017,11,1,109.6,1.0,0.0
christmas_supplies,2018,3,1,100.0,1.0,0.0
christmas_supplies,2018,8,1,449.5,1.0,0.0
cine_photo,2017,11,1,115.2,,
