product_category_name,order_year,order_month,order_count,total_sales
office_furniture,2018,5,266,135495.99000000017
health_beauty,2017,7,3424,758134.6100000009
fashion_bags_accessories,2018,8,21,5028.539999999999
auto,2018,1,36,6722.489999999999
audio,2017,11,55,3884.319999999999
home_appliances_2,2017,10,1,399.2
construction_tools_construction,2017,11,4,2531.56
health_beauty,2017,10,2820,380577.36999999324
air_conditioning,2018,4,25,2846.230000000001
kitchen_dining_laundry_garden_furniture,2018,8,1,509.99
costruction_tools_tools,2018,2,7,5740.35
small_appliances_home_oven_and_coffee,2018,5,2,93.1
luggage_accessories,2018,8,18,1432.6999999999998
health_beauty,2016,10,22,12952.26
housewares,2017,10,84,23761.499999999978
fashion_bags_accessories,2017,4,1,399.2
fashion_underwear_beach,2017,3,1,879.99
cool_stuff,2017,5,711,73664.03000000007
sports_leisure,2017,3,75,14573.190000000008
baby,2018,2,43,13371.589999999984
auto,2017,3,89,13691.159999999982
fashion_male_clothing,2017,3,1,395.6
tablets_printing_image,2017,10,6,752.76
sports_leisure,2016,10,9,968.1000000000001
consoles_games,2017,6,1,8.65
construction_tools_safety,2018,2,1,759.0
furniture_mattress_and_upholstery,2018,1,1,76.99
pet_shop,2018,5,41,10174.640000000001
drinks,2018,6,2,425.5
perfumery,2018,3,115,16635.950000000033
auto,2017,2,32,5499.970000000003
electronics,2017,10,45,6126.87
toys,2017,11,33166,32663669.74999553
bed_bath_table,2017,10,745,192008.2399999989
health_beauty,2018,7,1544,128826.24999999921
health_beauty,2017,9,2289,169931.38999999434
stationery,2017,7,18,5729.9400000000005
perfumery,2017,5,116,15304.059999999989
health_beauty,2017,5,1349,194104.44000000015
kitchen_dining_laundry_garden_furniture,2017,8,5,2268.5
furniture_bedroom,2017,2,2,81.7
home_appliances_2,2017,7,2,386.5
computers_accessories,2018,8,910,522175.9600000074
telephony,2018,8,242,75778.30000000028
electronics,2018,1,215,22489.86
watches_gifts,2017,7,422,401016.9300000015
tablets_printing_image,2017,12,21,1194.6900000000003
food_drink,2017,9,7,886.8300000000002
books_technical,2018,3,1,639.0
housewares,2018,1,112,31745.00000000003
telephony,2018,2,217,143051.73999999987
home_appliances_2,2018,8,18,5918.160000000002
furniture_decor,2018,8,272,59459.25000000004
home_appliances,2017,9,19,1413.9100000000005
furniture_decor,2017,5,225,147086.48999999993
market_place,2018,1,15,3011.7000000000003
furniture_bedroom,2017,11,1,107.53
market_place,2018,3,10,1160.21
stationery,2017,1,1,169.99
agro_industry_and_commerce,2018,3,19,623.0600000000002
food,2018,7,1,89.1
toys,2018,2,30840,13678312.220002785
cool_stuff,2017,9,249,50658.08000000004
computers_accessories,2017,12,518,70157.77000000057
cool_stuff,2017,6,470,69192.19000000002
cool_stuff,2018,3,83,6302.509999999998
fashion_male_clothing,2017,8,3,688.19
consoles_games,2017,12,17,1699.1399999999999
tablets_printing_image,2018,3,9,6525.0
musical_instruments,2017,4,8,1273.52
fashion_shoes,2017,6,2,1640.1
construction_tools_construction,2017,8,1,109.03
kitchen_dining_laundry_garden_furniture,2017,5,1,42.89
toys,2018,4,25638,20470438.280000634
stationery,2018,4,37,12970.46
auto,2016,10,3,415.29999999999995
arts_and_craftmanship,2018,8,1,37.49
electronics,2017,11,33,8563.300000000001
small_appliances,2018,8,18,2673.5600000000004
fashion_shoes,2018,7,1,128.99
signaling_and_security,2018,1,1,692.0
computers_accessories,2017,7,512,38408.34999999997
perfumery,2018,8,78,43373.459999999825
telephony,2017,10,135,47534.99000000004
luggage_accessories,2017,12,17,5198.0
garden_tools,2018,8,187,94477.44000000019
baby,2018,4,108,55434.41999999997
construction_tools_construction,2018,4,34,3559.7500000000005
air_conditioning,2017,9,2,250.92
toys,2018,1,29417,8484798.570000729
toys,2016,10,247,115905.35999999994
cool_stuff,2018,2,173,40262.86999999998
office_furniture,2017,10,132,59493.38
pet_shop,2017,6,27,3914.189999999999
costruction_tools_garden,2018,2,3,317.6
books_technical,2017,11,6,713.9399999999999
small_appliances,2018,4,20,7008.709999999999
office_furniture,2017,12,21,1633.5499999999997
electronics,2018,8,26,6193.4400000000005
fashion_shoes,2017,7,1,260.99
tablets_printing_image,2017,3,18,2258.28
costruction_tools_tools,2017,11,7,5740.35
drinks,2018,3,1,679.0
home_appliances,2017,11,14,3360.3
bed_bath_table,2017,3,134,10975.889999999985
construction_tools_construction,2018,3,13,1117.36
electronics,2017,2,24,6753.839999999998
tablets_printing_image,2017,4,14,1756.4400000000003
furniture_decor,2018,2,325,133153.06000000023
furniture_decor,2018,3,543,176464.57000000007
garden_tools,2018,4,1871,7463820.290000288
sports_leisure,2017,11,280,52791.410000000054
sports_leisure,2018,2,344,118113.4500000001
computers,2018,1,63,11836.439999999951
small_appliances,2018,5,23,1889.3100000000002
fashion_underwear_beach,2017,12,2,1019.98
toys,2018,6,17572,6129193.090000406
computers_accessories,2017,9,479,100174.21000000062
bed_bath_table,2018,1,699,172356.91999999993
pet_shop,2018,6,50,20296.949999999993
stationery,2018,7,80,19410.929999999993
perfumery,2018,5,10,1663.83
perfumery,2016,10,35,3234.090000000001
food,2017,12,1,18.04
fashion_shoes,2017,2,1,109.82
luggage_accessories,2017,11,8,3216.5
toys,2017,4,5898,1512781.7700000321
garden_tools,2018,1,1097,520036.2999999947
cool_stuff,2017,4,297,31509.499999999876
watches_gifts,2018,3,1312,172399.79000000062
baby,2018,6,41,12850.14
furniture_decor,2018,4,523,98154.83000000042
sports_leisure,2018,6,243,33043.579999999914
small_appliances,2018,3,17,2468.53
industry_commerce_and_business,2018,6,33,1248.7200000000003
market_place,2018,2,18,4291.589999999999
small_appliances,2018,1,2,1028.0
fixed_telephony,2018,6,3,530.95
costruction_tools_tools,2018,6,4,2480.4
market_place,2017,11,9,831.18
sports_leisure,2018,5,186,45193.650000000016
costruction_tools_garden,2018,8,8,389.19999999999993
baby,2017,6,26,2396.700000000001
telephony,2018,4,249,162056.6599999997
cool_stuff,2018,8,57,14662.809999999989
furniture_decor,2017,6,106,77860.47000000018
health_beauty,2017,1,24,2015.4300000000007
signaling_and_security,2017,11,3,479.97
construction_tools_lights,2018,8,16,23339.5
fashion_male_clothing,2017,10,1,17.6
consoles_games,2017,10,13,880.8999999999997
watches_gifts,2018,6,481,121416.61999999963
musical_instruments,2017,7,2,88.69999999999999
musical_instruments,2018,3,9,843.08
air_conditioning,2018,3,8,2586.4
office_furniture,2017,7,40,6546.529999999994
fashion_shoes,2018,5,1,89.99
musical_instruments,2017,10,1,692.0
toys,2018,5,28514,23891021.74000015
health_beauty,2018,3,1426,208308.81999999925
sports_leisure,2017,8,638,97843.64999999963
auto,2018,2,199,56616.66000000001
home_appliances,2018,3,97,7644.580000000008
perfumery,2018,1,184,21325.580000000034
musical_instruments,2017,6,3,170.67000000000002
home_confort,2017,6,6,238.49
party_supplies,2017,11,1,260.0
computers_accessories,2018,6,1963,729977.9799999923
sports_leisure,2018,3,397,105542.22000000015
health_beauty,2017,4,925,113898.09000000094
fashion_bags_accessories,2017,6,15,2323.2
costruction_tools_garden,2018,4,2,128.8
home_appliances,2017,4,26,10921.819999999996
market_place,2017,7,6,230.87999999999997
fashion_underwear_beach,2018,4,1,692.0
sports_leisure,2017,5,211,28760.10999999993
computers_accessories,2018,3,3132,738283.9300000094
