seller_id,performance,performance_score,order_count,total_sales,avg_order_value,avg_processing_time,avg_delivery_days,prediction,on_time_delivery_rate,shipping_ratio
r7VxefoTVHbb,High,64.65,77543,137706838.45,1775.877106250725,0.6147951699499107,5.670132208754187,0,74.65019408586204,2.073160201870861
yGbPyLPc8PmT,High,71.86,10101,15129258.29,1497.7980685080684,0.3630712088003754,5.3409941867233535,0,79.18027918027917,2.765706103891231
RKad98cTxhSb,High,69.07,32391,6496081.54,200.5520527306968,0.4328174489341461,5.3920345154032265,0,76.13534623815256,23.548300318902708
TuPm19CMKvrM,High,66.24,39724,5215768.46,131.30018276105125,0.5706889266261277,5.549517846170987,0,76.35434498036452,30.4632054161392
0Mzbc3aACMOQ,High,69.35,21592,3698715.99,171.30029594294183,0.4057375727721515,5.48752712445796,0,75.21304186735827,23.495944602115827
UOGIrJtSldvd,High,62.97,30230,3318198.69,109.76509063843864,0.6407424180817436,5.622912447853493,0,71.4257360238174,33.05558595106311
xbr8ZnHWrWgb,High,77.48,147,150364.68,1022.8889795918368,0.1457860922146636,4.860071806500378,0,93.87755102040816,4.222394514456453
AY561gRQMc6U,High,77.37,369,93019.84,252.08628726287264,0.2002877835491318,4.576981550486802,0,99.7289972899729,20.63254462703871
MsRnDzEoIgmI,High,80.69,37,68928.99,1862.945675675676,0.0494234859859859,4.725099161661662,0,100.0,6.124085091048048
olJ9Vx6j3yjJ,High,78.64,171,43896.16,256.7026900584796,0.0228895251245397,4.414702390621616,0,92.39766081871343,23.909084530400833
4YcgcZ3R8f8q,High,78.1,128,41286.64,322.551875,0.0255855758101851,4.556835575810185,0,93.75,13.561481389621438
yNuJ972zjSM4,High,75.9,127,23397.06,184.2288188976378,0.0581260936132983,4.766787510936133,0,96.06299212598424,16.267172029306245
XDUcHHAatIrl,High,80.59,306,23136.15,75.60833333333333,0.1295140023602033,5.37461204157589,0,100.0,55.45304642302198
VwdyM1iPhT9K,High,69.29,51,22056.48,432.48,0.3001486474219317,5.417795706245461,0,98.0392156862745,12.444370089878348
QEcBxg0tQry2,High,68.39,26,19606.1,754.0807692307692,0.2576949786324786,4.9500026709401705,0,96.15384615384616,6.349809498064378
uZmzIH3dUoxi,High,76.35,17,18669.59,1098.2111764705885,0.0374428104575163,4.5080310457516335,0,100.0,2.8771922682822715
imsQLNLuCy6l,High,73.55,27,16459.44,609.6088888888888,0.2335969650205761,4.900263631687243,0,100.0,8.338679809276622
BMQvLMJ7FPRp,High,70.31,26,16377.09,629.8880769230769,0.3657033475783476,4.365703347578347,0,100.0,6.625413916635983
wjeGODe1DeCm,High,67.33,22,16032.73,728.7604545454546,0.4777409511784511,5.523195496632996,0,100.0,6.855476266362621
iheur3GszbRN,High,72.0,29,14985.8,516.7517241379311,0.0409091634738186,4.523667784163473,0,93.10344827586206,7.6884784262435115
RgI0dSuH1xBZ,High,76.27,51,14297.36,280.3403921568628,0.1518690994916485,4.955790668119099,0,100.0,10.40800539400281
wnF6o59qfQ7x,High,70.83,48,14027.74,292.2445833333333,0.1843152006172839,4.163481867283951,0,97.91666666666666,15.311946186627354
J3sihYKZ7eem,High,76.04,37,13593.2,367.3837837837838,0.1200888388388388,4.768737487487488,0,100.0,15.422711355677837
7ChBS5ebVsQ2,High,81.62,16,13592.0,849.5,0.0069618055555555,4.506961805555555,0,100.0,25.29252501471454
6sxwOP5ZryfM,High,76.3,17,13163.69,774.3347058823529,0.0213766339869281,4.374317810457517,0,100.0,6.419400639182478
aGKHuILL8ojO,High,69.16,9,12546.75,1394.0833333333333,0.2325720164609053,4.3436831275720165,0,100.0,2.1819196206188853
cFovkr5GFkYK,High,70.9,146,12195.05,83.52773972602739,0.2380398592085236,4.724341229071538,0,95.8904109589041,37.52251938286436
hZDPWQ7DEz8I,High,71.3,41,12111.04,295.3912195121951,0.0702636630532972,5.606849028906956,0,92.6829268292683,13.326023198668322
5wnoHfXKSv4m,High,69.89,29,11501.92,396.6179310344828,0.1166934067688378,3.4615209929757342,0,96.55172413793105,2.8778673473646137
Go8YHBAVjLc1,High,70.87,6,11094.0,1849.0,0.045167824074074,4.545167824074074,0,100.0,0.5097349918875067
WJRLMLfPKbsX,High,66.73,16,11072.0,692.0,0.4015451388888889,4.901545138888888,0,100.0,4.285765895953757
qlWrFf4tJjSk,High,71.54,57,10807.81,189.610701754386,0.0830953541260558,5.328709389213776,0,92.98245614035088,18.347287748396763
J8unLpEsTK44,High,71.65,60,10400.54,173.34233333333336,0.3232235725308642,4.506556905864198,0,100.0,21.60983948910345
k34HgvLodB3p,High,70.92,25,9633.21,385.3284,0.2578106481481481,6.297810648148149,0,100.0,12.757741189074048
kY8G3eRk5Fdm,High,69.91,3,9315.0,3105.0,0.0144212962962962,3.0144212962962964,0,100.0,4.977777777777778
IRFNV9diw97l,High,70.82,35,9250.01,264.286,0.0412255291005291,5.355511243386244,0,94.28571428571428,13.229931643317142
ck0LA3MA1GIe,High,71.1,5,9045.0,1809.0,0.0184189814814814,5.418418981481482,0,100.0,2.039911553344389
qdZFE3HAvLdk,High,68.55,19,8930.13,470.0068421052631,0.0743433235867446,4.074343323586745,0,94.73684210526316,9.931994271080042
mlEXWDSLFI8W,High,68.72,21,8614.14,410.1971428571428,0.07274360670194,4.215600749559083,0,95.23809523809524,10.91960427854667
mJYGJcjuy1Sl,High,74.34,7,8435.33,1205.047142857143,0.0107242063492063,4.296438492063492,0,100.0,3.4284372988371525
n8X3vbGWI2PW,High,69.59,27,8339.31,308.8633333333333,0.0684910836762688,5.105528120713306,0,96.29629629629628,13.73614843434289
fKDJ8j23MXgl,High,69.14,35,8224.55,234.98714285714283,0.1244854497354497,5.210199735449735,0,97.14285714285714,17.80109550066569
FDJOy3Tl4fuP,High,70.1,59,7351.71,124.60525423728814,0.1001341807909604,5.184879943502825,0,93.22033898305084,36.275369947944085
z7LClRKBnKcO,High,59.23,3,7227.9,2409.3,0.4058603395061728,7.07252700617284,0,100.0,4.56840852806486
AiuMDtTqkCaX,High,65.25,11,6372.93,579.3572727272727,0.3324579124579124,4.605185185185185,0,100.0,5.573888305692986
nEFcgyUefBpa,High,75.19,19,5888.099999999999,309.9,0.0135416666666666,4.013541666666667,0,100.0,5.824459503065505
R4J11JRqtn5M,High,67.89,30,5823.21,194.107,0.1061797839506172,4.872846450617284,0,96.66666666666669,17.42217780227744
mtGQqVEpW6z5,High,63.13,11,5718.23,519.8390909090908,0.4101483585858585,5.410148358585858,0,100.0,19.01847249935732
lWFbk17KJWTO,High,74.45,25,5636.93,225.4772,0.0202449074074074,3.420244907407407,0,100.0,8.23568857516414
0BKyRKbmL7lm,High,64.87,8,5542.5,692.8125,0.2730005787037037,4.648000578703703,0,100.0,3.6252593594948133
doOchGaULWzx,High,75.98,8,5536.0,692.0,0.0069212962962962,5.006921296296296,0,100.0,0.8786127167630059
CvHyF76f3jKZ,High,64.19,9,5485.17,609.4633333333334,0.3152854938271605,5.093063271604938,0,100.0,5.004585090343599
